station,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
SEA,2015.0,1.0,3,16,35.96,33.08,89.16,140.0,6.904679999999999,7.945767650399998,0.0,1026.4,10.0,2015-01-04T00:00:00Z
SEA,2015.0,1.0,3,17,35.6,33.8,93.08,120.0,5.7539,6.621473041999999,0.0,NA,0.25,2015-01-04T01:00:00Z
SEA,2015.0,1.0,3,18,39.02,35.96,88.66,150.0,3.4523399999999995,3.972883825199999,0.0,1026.2,10.0,2015-01-04T02:00:00Z
SEA,2015.0,1.0,3,19,39.02,35.96,88.66,140.0,3.4523399999999995,3.972883825199999,0.0,1025.8,5.0,2015-01-04T03:00:00Z
SEA,2015.0,1.0,3,20,39.02,35.96,88.66,120.0,4.60312,5.297178433599999,0.0,1025.0,1.0,2015-01-04T04:00:00Z
SEA,2015.0,1.0,3,21,39.2,35.6,86.79,110.0,4.60312,5.297178433599999,0.0,NA,0.75,2015-01-04T05:00:00Z
SEA,2015.0,1.0,3,22,39.2,37.4,93.19,130.0,3.4523399999999995,3.972883825199999,0.0,NA,4.0,2015-01-04T06:00:00Z
SEA,2015.0,1.0,3,23,39.02,37.04,92.53,0.0,0.0,0.0,0.0,1024.8,6.0,2015-01-04T07:00:00Z
SEA,2015.0,1.0,4,0,39.92,37.04,89.34,0.0,0.0,0.0,0.0,1025.6,7.0,2015-01-04T08:00:00Z
SEA,2015.0,1.0,4,1,39.92,37.04,89.34,40.0,3.4523399999999995,3.972883825199999,0.0,1025.4,6.0,2015-01-04T09:00:00Z
SEA,2015.0,1.0,4,2,39.92,35.96,85.61,120.0,3.4523399999999995,3.972883825199999,0.0,1024.7,7.0,2015-01-04T10:00:00Z
SEA,2015.0,1.0,4,3,39.92,35.06,82.6,130.0,5.7539,6.621473041999999,0.0,1024.1,10.0,2015-01-04T11:00:00Z
SEA,2015.0,1.0,4,4,37.94,35.96,92.49,0.0,0.0,0.0,0.0,1024.3,8.0,2015-01-04T12:00:00Z
SEA,2015.0,1.0,4,5,39.2,35.6,86.79,0.0,0.0,0.0,0.0,NA,8.0,2015-01-04T13:00:00Z
SEA,2015.0,1.0,4,6,39.92,37.04,89.34,280.0,4.60312,5.297178433599999,0.0,1025.4,6.0,2015-01-04T14:00:00Z
SEA,2015.0,1.0,4,7,39.02,37.04,92.53,140.0,4.60312,5.297178433599999,0.0,1025.2,6.0,2015-01-04T15:00:00Z
SEA,2015.0,1.0,4,8,39.2,37.4,93.19,150.0,4.60312,5.297178433599999,0.01,NA,1.0,2015-01-04T16:00:00Z
SEA,2015.0,1.0,4,9,39.02,37.04,92.53,120.0,4.60312,5.297178433599999,0.04,1025.3,1.0,2015-01-04T17:00:00Z
SEA,2015.0,1.0,4,10,37.4,35.6,93.14,110.0,6.904679999999999,7.945767650399998,0.0,NA,1.0,2015-01-04T18:00:00Z
SEA,2015.0,1.0,4,11,37.4,37.4,100.0,150.0,4.60312,5.297178433599999,0.01,NA,6.0,2015-01-04T19:00:00Z
SEA,2015.0,1.0,4,12,39.2,35.6,86.79,0.0,0.0,0.0,0.0,NA,10.0,2015-01-04T20:00:00Z
SEA,2015.0,1.0,4,13,39.02,35.96,88.66,130.0,4.60312,5.297178433599999,0.0,1024.1,10.0,2015-01-04T21:00:00Z
SEA,2015.0,1.0,4,14,39.92,35.96,85.61,130.0,9.20624,10.594356867199998,0.0,1023.7,10.0,2015-01-04T22:00:00Z
SEA,2015.0,1.0,4,15,39.02,35.96,88.66,120.0,8.05546,9.2700622588,0.0,1023.7,10.0,2015-01-04T23:00:00Z
SEA,2015.0,1.0,4,16,39.2,37.4,93.19,140.0,8.05546,9.2700622588,0.01,NA,9.0,2015-01-05T00:00:00Z
SEA,2015.0,1.0,4,17,39.2,37.4,93.19,170.0,4.60312,5.297178433599999,0.01,NA,2.0,2015-01-05T01:00:00Z
SEA,2015.0,1.0,4,18,41.0,39.2,93.24,130.0,9.20624,10.594356867199998,0.0,NA,6.0,2015-01-05T02:00:00Z
SEA,2015.0,1.0,4,19,42.98,41.0,92.65,150.0,10.357019999999999,11.918651475599997,0.01,1022.3,10.0,2015-01-05T03:00:00Z
SEA,2015.0,1.0,4,20,44.96,42.08,89.56,150.0,11.5078,13.242946083999998,0.02,1021.3,10.0,2015-01-05T04:00:00Z
SEA,2015.0,1.0,4,21,46.04,42.98,88.99,150.0,8.05546,9.2700622588,0.02,1020.9,10.0,2015-01-05T05:00:00Z
SEA,2015.0,1.0,4,22,46.94,42.98,86.02,150.0,13.809359999999998,15.891535300799996,0.02,1020.1,10.0,2015-01-05T06:00:00Z
SEA,2015.0,1.0,4,23,48.02,44.06,86.08,180.0,14.960139999999999,17.215829909199996,0.02,1019.4,10.0,2015-01-05T07:00:00Z
SEA,2015.0,1.0,5,0,48.02,44.06,86.08,180.0,12.658579999999999,14.567240692399997,0.02,1018.9,10.0,2015-01-05T08:00:00Z
SEA,2015.0,1.0,5,1,48.02,44.06,86.08,190.0,13.809359999999998,15.891535300799996,0.02,1017.8,10.0,2015-01-05T09:00:00Z
SEA,2015.0,1.0,5,2,48.02,44.96,89.08,190.0,9.20624,10.594356867199998,0.04,1017.7,10.0,2015-01-05T10:00:00Z
SEA,2015.0,1.0,5,3,48.02,44.96,89.08,190.0,10.357019999999999,11.918651475599997,0.04,1017.1,10.0,2015-01-05T11:00:00Z
SEA,2015.0,1.0,5,4,48.92,46.04,89.73,180.0,11.5078,13.242946083999998,0.02,1016.5,10.0,2015-01-05T12:00:00Z
SEA,2015.0,1.0,5,5,48.2,46.4,93.45,180.0,12.658579999999999,14.567240692399997,0.01,NA,10.0,2015-01-05T13:00:00Z
SEA,2015.0,1.0,5,6,51.08,48.02,89.22,180.0,19.56326,22.5130083428,0.01,1016.0,10.0,2015-01-05T14:00:00Z
SEA,2015.0,1.0,5,7,51.08,48.02,89.22,200.0,21.864819999999998,25.161597559599997,0.02,1016.3,6.0,2015-01-05T15:00:00Z
SEA,2015.0,1.0,5,8,51.08,48.02,89.22,200.0,17.261699999999998,19.864419125999994,0.04,1016.7,9.0,2015-01-05T16:00:00Z
SEA,2015.0,1.0,5,9,51.08,48.92,92.28,190.0,20.714039999999997,23.837302951199995,0.02,1017.3,6.0,2015-01-05T17:00:00Z
SEA,2015.0,1.0,5,10,51.98,48.92,89.26,190.0,19.56326,22.5130083428,0.01,1017.8,4.0,2015-01-05T18:00:00Z
SEA,2015.0,1.0,5,11,51.98,50.0,92.93,190.0,18.41248,21.188713734399997,0.01,1018.2,3.0,2015-01-05T19:00:00Z
SEA,2015.0,1.0,5,12,53.06,50.0,89.31,190.0,24.166379999999997,27.810186776399995,0.02,1018.7,10.0,2015-01-05T20:00:00Z
SEA,2015.0,1.0,5,13,53.06,50.0,89.31,200.0,20.714039999999997,23.837302951199995,0.03,1019.7,4.0,2015-01-05T21:00:00Z
SEA,2015.0,1.0,5,14,51.8,50.0,93.55,200.0,19.56326,22.5130083428,0.01,NA,4.0,2015-01-05T22:00:00Z
SEA,2015.0,1.0,5,15,53.06,51.08,92.96,190.0,19.56326,22.5130083428,0.02,1021.3,4.0,2015-01-05T23:00:00Z
SEA,2015.0,1.0,5,16,53.6,51.8,93.6,200.0,16.11092,18.5401245176,0.01,NA,2.0,2015-01-06T00:00:00Z
SEA,2015.0,1.0,5,17,53.06,51.08,92.96,200.0,14.960139999999999,17.215829909199996,0.03,1023.5,2.0,2015-01-06T01:00:00Z
SEA,2015.0,1.0,5,18,53.06,51.08,92.96,200.0,17.261699999999998,19.864419125999994,0.02,1024.0,4.0,2015-01-06T02:00:00Z
SEA,2015.0,1.0,5,19,53.6,51.8,93.6,200.0,13.809359999999998,15.891535300799996,0.0,NA,2.0,2015-01-06T03:00:00Z
SEA,2015.0,1.0,5,20,53.06,51.08,92.96,190.0,14.960139999999999,17.215829909199996,0.01,1025.2,2.0,2015-01-06T04:00:00Z
SEA,2015.0,1.0,5,21,53.6,51.8,93.6,200.0,13.809359999999998,15.891535300799996,0.02,NA,2.0,2015-01-06T05:00:00Z
SEA,2015.0,1.0,5,22,53.96,51.08,89.95,190.0,14.960139999999999,17.215829909199996,0.0,1025.4,10.0,2015-01-06T06:00:00Z
SEA,2015.0,1.0,5,23,53.6,50.0,87.56,180.0,10.357019999999999,11.918651475599997,0.0,NA,10.0,2015-01-06T07:00:00Z
